brand,replies,pairs,unique_customers,days_active,span_days,first_turn_share,thread_size_p50,thread_size_mean,dm_rate,reply_url_share,substantive_public_share,reply_uniqueness,top10_template_share,reply_len_p50,cust_len_p50,cust_short_share,cust_non_english_share,latency_p50_min,cluster_entropy,silhouette,embedding_spread
AskRBC,1011,1009,804,75,1265,0.8513379583746283,3.0,3.3191278493557976,0.1823587710604559,0.17641228939544104,0.7948463825569871,0.998017839444995,0.011892963330029732,133.0,115.0,0.019821605550049554,0.0,23.033333333333335,,,
AskVirginMoney,914,906,368,68,71,0.4503311258278146,6.0,7.673289183222958,0.017660044150110375,0.008830022075055188,0.9359823399558499,0.9911699779249448,0.019867549668874173,105.0,100.0,0.02759381898454746,0.0,12.508333333333333,,,
BoostCare,907,900,600,71,100,0.8011111111111111,3.0,5.071111111111111,0.44333333333333336,0.0811111111111111,0.5,0.9822222222222222,0.028888888888888888,116.0,91.0,0.03777777777777778,0.0,47.06666666666666,,,
YahooCare,906,859,538,74,1071,0.6740395809080326,4.0,5.876600698486612,0.3084982537834691,0.27357392316647267,0.6461001164144354,0.9266589057043073,0.05238649592549476,119.0,109.0,0.027939464493597205,0.0,122.98333333333333,,,
OPPOCareIN,879,836,431,73,349,0.6566985645933014,5.0,8.295454545454545,0.1854066985645933,0.17105263157894737,0.7822966507177034,0.9425837320574163,0.050239234449760764,141.0,80.0,0.04784688995215311,0.008373205741626795,151.60000000000002,,,
HiltonHelp,833,829,672,57,288,0.8817852834740652,2.0,3.663449939686369,0.8069963811821471,0.009650180940892641,0.17852834740651388,0.7189384800965019,0.17973462002412546,125.0,120.0,0.016887816646562123,0.0,58.916666666666664,,,
PearsonSupport,841,822,590,71,78,0.7664233576642335,3.0,4.644768856447689,0.09975669099756691,0.5486618004866181,0.8844282238442822,0.7396593673965937,0.20316301703163017,128.0,95.0,0.0072992700729927005,0.0,9.383333333333333,,,
GooglePlayMusic,804,803,520,73,110,0.701120797011208,4.0,4.697384806973848,0.009962640099626401,0.40224159402241594,0.9713574097135741,0.933997509339975,0.043586550435865505,138.0,107.0,0.007471980074719801,0.0,16.25,,,
MTNC_Care,784,770,368,64,65,0.8012987012987013,4.0,5.297402597402598,0.37272727272727274,0.06883116883116883,0.509090909090909,0.9922077922077922,0.02077922077922078,105.0,98.0,0.023376623376623377,0.003896103896103896,30.641666666666666,,,
AskTigogh,715,713,291,74,578,0.6157082748948106,7.0,8.59046283309958,0.056100981767180924,0.08415147265077139,0.6760168302945302,0.9284712482468443,0.06872370266479663,88.0,72.0,0.08555399719495091,0.0,6.3,,,
askvisa,709,709,479,69,1130,0.8772919605077574,3.0,3.7376586741889986,0.03385049365303244,0.11706629055007052,0.9308885754583921,0.9703808180535967,0.03526093088857546,128.0,124.0,0.015514809590973202,0.005641748942172073,2983.85,,,
asksalesforce,710,704,397,54,385,0.7528409090909091,4.0,4.703125,0.22585227272727273,0.2002840909090909,0.6264204545454546,0.9928977272727273,0.02130681818181818,100.0,125.0,0.01278409090909091,0.0,46.59166666666667,,,
AskSeagate,639,638,335,65,1094,0.6724137931034483,4.0,6.705329153605016,0.07210031347962383,0.45297805642633227,0.9090909090909091,0.9764890282131662,0.03918495297805643,146.0,132.0,0.004702194357366771,0.003134796238244514,171.14999999999998,,,
MOO,630,612,476,60,307,0.8088235294117647,3.0,3.9607843137254903,0.09803921568627451,0.09803921568627451,0.5343137254901961,0.9362745098039216,0.06699346405228758,75.0,103.0,0.026143790849673203,0.0016339869281045752,82.05,,,
ask_progressive,612,611,546,70,288,0.9492635024549918,2.0,3.193126022913257,0.5450081833060556,0.4828150572831424,0.44189852700491,0.9574468085106383,0.05073649754500818,136.0,122.0,0.004909983633387889,0.0,92.68333333333334,,,
KeyBank_Help,555,552,340,73,79,0.7463768115942029,4.0,4.195652173913044,0.2572463768115942,0.07065217391304347,0.7137681159420289,1.0,0.018115942028985508,127.5,112.0,0.021739130434782608,0.0,20.708333333333336,,,
AskRobinhood,432,429,382,42,691,0.9020979020979021,2.0,7.524475524475524,0.05827505827505827,0.09090909090909091,0.5920745920745921,0.7435897435897436,0.20512820512820512,71.0,88.0,0.011655011655011656,0.0,793.1833333333333,,,
mediatemplehelp,305,302,159,73,95,0.6887417218543046,4.0,4.490066225165563,0.046357615894039736,0.2947019867549669,0.8973509933774835,0.9701986754966887,0.06291390728476821,137.0,108.5,0.016556291390728478,0.0,7.975,,,
JackBox,266,255,238,58,86,0.9019607843137255,2.0,3.0549019607843135,0.32941176470588235,0.0392156862745098,0.10196078431372549,0.5725490196078431,0.4392156862745098,43.0,94.0,0.03137254901960784,0.0,831.3,,,
OfficeSupport,218,211,90,65,395,0.5687203791469194,6.0,7.208530805687204,0.26066350710900477,0.24644549763033174,0.7298578199052133,0.990521327014218,0.05687203791469194,113.0,126.0,0.03317535545023697,0.0,134.05,,,
AskDSC,210,210,196,63,102,0.9523809523809523,2.0,2.4,0.7047619047619048,0.2571428571428571,0.21904761904761905,0.7571428571428571,0.21428571428571427,90.0,114.0,0.0,0.0,471.26666666666665,,,
